dx lambda=1.0,p=1 lambda=1.0,p=2 lambda=1.0,p=3 lambda=2.0,p=1 lambda=2.0,p=2 lambda=2.0,p=3 lambda=3.0,p=1 lambda=3.0,p=2 lambda=3.0,p=3 
-2.3978952727983707 -5.822136580216173 -3.953467277749368 -3.0982218346058983 -6.030481838886437 -4.046046642292228 -3.2147861640753317 -5.084346779920058 -3.9043262719685807 -3.114210440206996 
-3.044522437723423 -7.106758695212382 -5.250201525762377 -4.428064132682404 -7.32347084426011 -5.354436472171447 -4.508977932747048 -6.378099241264492 -5.217303327971215 -4.44370822978862 
-3.4339872044851463 -7.883062968327401 -6.034534273751831 -5.209418818352345 -8.101666122787373 -6.139554632288136 -5.293760753184371 -7.1584127678458 -6.001325114341878 -5.232029638906189 
-3.713572066704308 -8.441573274143643 -6.5931351786908925 -5.767353225595732 -8.660643998164375 -6.697286738651122 -5.857033371135236 -7.717590377183039 -6.559845523788003 -5.795383839756858 
-3.9318256327243257 -8.877909738046094 -7.029575331799878 -6.206881144829933 -9.097097787044682 -7.134394423678967 -6.296400113055852 -8.15385590484178 -6.9971291763244965 -6.233186800473394 
-4.110873864173311 -9.235990172201685 -7.388682278935305 -6.563586894586357 -9.45518584159312 -7.49342112945168 -6.6528205819905715 -8.512116635780329 -7.355990015637974 -6.590645545116476 
-4.2626798770413155 -9.539639949848185 -7.691861187659157 -6.867865581216458 -9.758805627591114 -7.796552764355345 -6.956193518168901 -8.815866717310003 -7.659295447989173 -6.89432942803739 
-4.394449154672439 -9.803234248716088 -7.955409229873867 -7.131923212840352 -10.022357715349168 -8.060290633688137 -7.220089502905404 -9.079255230948062 -7.923026701039122 -7.158211149458005 
-4.51085950651685 -10.036114798333099 -8.188689743474264 -7.364106824994752 -10.255193596681748 -8.293382553536569 -7.453512226972438 -9.31210342711292 -8.156129719120516 -7.391470630400536 
-4.61512051684126 -10.24467944057989 -8.396895668242356 -7.573417798063805 -10.463730731657593 -8.50171197635251 -7.662207395318034 -9.520739694195278 -8.36448873500075 -7.600452194083693 
-4.709530201312334 -10.43340137543833 -8.585751494431014 -7.7617714741249735 -10.652564453126203 -8.690648297761928 -7.850686454039592 -9.70946720382517 -8.553388713781215 -7.789027828469273 
-4.795790545596741 -10.605868407546552 -8.758500904277284 -7.934326721353911 -10.82509847987805 -8.86325756864469 -8.023179117491825 -9.881980970584264 -8.72605180911371 -7.961456333249363 
-4.875197323201151 -10.764656284084287 -8.917119526635442 -8.093513847404163 -10.98392430726565 -9.021980727024552 -8.182152232628999 -10.040846636854967 -8.884766027454619 -8.120309382234167 
-4.948759890378168 -10.911773903686404 -9.06428890837711 -8.24025943538102 -11.131060684158069 -9.169190710368113 -8.329549012274223 -10.18794952599073 -9.031934592076407 -8.267553914087555 
-5.017279836814924 -11.048818174726172 -9.201429087945552 -8.377547445185169 -11.268110864365289 -9.306249864974806 -8.466466442434575 -10.324971364209238 -9.169058653424825 -8.404761052068277 
-5.081404364984463 -11.177079405603074 -9.32957312847595 -8.505710654040238 -11.396369336684723 -9.434454357701284 -8.594605964032839 -10.45324421477452 -9.297241434193976 -8.533004461014066 
-5.14166355650266 -11.297615025693531 -9.450136949825897 -8.626166807388081 -11.516896352997673 -9.555040477664933 -8.715142703817946 -10.573769524111437 -9.417786967488587 -8.653441039738238 
-5.198497031265826 -11.41130243331823 -9.563842432468377 -8.740121760874482 -11.630571231390967 -9.668695931593726 -8.828917024817306 -10.687414697393145 -9.53150865634621 -8.767097251987508 
-5.25227342804663 -11.518839529250645 -9.67133634150985 -8.847409299307957 -11.738131322317921 -9.776227686519949 -8.936589910043505 -10.794976705945336 -9.639014379077306 -8.874689761308547 
-5.303304908059076 -11.620882415911106 -9.773443537675904 -8.949557953441127 -11.840201018922723 -9.878347557976406 -9.03852534360382 -10.897060066323759 -9.741096040220063 -8.976828207901734 
-5.351858133476067 -11.717977450272956 -9.870555797501078 -9.046687880659043 -11.937313697911328 -9.97542773649597 -9.13559479387014 -10.99414381970008 -9.83824043306508 -9.07399329997796 
-5.3981627015177525 -11.810581786230793 -9.963132134099649 -9.139215118495715 -12.029928606215798 -10.068028994800075 -9.2282351990234 -11.086754057664253 -9.930814585312302 -9.166535863492605 
-5.442417710521793 -11.8990920731425 -10.05168434221584 -9.227884154254525 -12.118443989544016 -10.156588343731624 -9.316827979731027 -11.17528323623048 -10.019338385317704 -9.255023144294878 
-5.484796933490655 -11.983854678657746 -10.136430171492972 -9.312514704465118 -12.203207433784609 -10.241313232489535 -9.401587770775942 -11.260026899162167 -10.104124347992803 -9.339792576795453 
-5.5254529391317835 -12.065173831612007 -10.217725152269178 -9.393847964255235 -12.284520107974028 -10.322625164030233 -9.482839101503938 -11.341335267153669 -10.18540945080657 -9.421141528780664 
-5.564520407322694 -12.143318193652041 -10.295900002460684 -9.472044866867105 -12.362650527436273 -10.400803766771821 -9.560966431299704 -11.419481370091773 -10.263555057424089 -9.499333344919073 
-5.602118820879701 -12.218516412332383 -10.371073460716607 -9.547158361824454 -12.437843864336163 -10.475963563394819 -9.636197788892762 -11.494675108411572 -10.338772522091325 -9.574496577916142 
-5.638354669333745 -12.290977064272331 -10.443538126652413 -9.619711796694599 -12.510312919205276 -10.54843998111729 -9.708737458676426 -11.567140302540855 -10.411222959427837 -9.646942929760863 
-5.673323267171493 -12.360907349366494 -10.513512979952257 -9.689600299112046 -12.58024816009847 -10.61840435593708 -9.778625410186299 -11.637083327267252 -10.481168729587628 -9.71687870601446 
-5.707110264748875 -12.42847783792486 -10.581057239019684 -9.757166008978242 -12.647820769494588 -10.6859519588619 -9.84617075693969 -11.704661652785813 -10.548758606276 -9.784470632472813 
-5.739792912179234 -12.493842401120315 -10.646422062513938 -9.822607301269004 -12.713185174588526 -10.751324997336509 -9.911542048459143 -11.770018695723868 -10.614106738710536 -9.849869503932505 
-5.771441123130016 -12.557140404168107 -10.709752073380104 -9.88582405543498 -12.776481095137381 -10.814636383126771 -9.974872964014063 -11.833317278460264 -10.677410253880531 -9.913168962500562 
-5.802118375377063 -12.618498373550622 -10.771075035176331 -9.947218946684478 -12.837835447357824 -10.875972861205659 -10.03625360497394 -11.894680943260738 -10.738777230252028 -9.974498362169486 
-5.831882477283517 -12.678031630468567 -10.830607182457872 -10.006739407149976 -12.897363753801438 -10.935510733598301 -10.095741449210191 -11.954199828251916 -10.798291333378986 -10.034019254847374 
-5.860786223465865 -12.735845073596227 -10.888434942197437 -10.064524002280894 -12.955171601409893 -10.993324601593677 -10.153537379201307 -12.012006910026312 -10.856104830156944 -10.091834320117462 
-5.8888779583328805 -12.792021303561016 -10.944596099433404 -10.120780038591631 -13.01135561704255 -11.049496049468061 -10.20973359166298 -12.068197467269178 -10.912298251803122 -10.148037812171507 
-5.916202062607435 -12.846664706252321 -10.999251271409523 -10.17536120478327 -13.066004498420504 -11.104155147775575 -10.26441506067245 -12.122840976052098 -10.96693470450667 -10.202708249714547 
-5.942799375126701 -12.899856544385843 -11.052456464300496 -10.228572340358708 -13.119199965495348 -11.157349989761096 -10.3176005493972 -12.176033352377301 -11.020134507472562 -10.255878923723278 
-5.968707559985366 -12.95167186805538 -11.104257323701697 -10.280403578431423 -13.171017312696856 -11.209158742541058 -10.369394271880106 -12.227854054936948 -11.071958921793465 -10.307685068987887 
