dx erreur
-2.4849066497880004 -4.1369061977438015
-3.0910424533583156 -5.321939768195761
-3.4657359027997265 -6.065410481000317
-3.7376696182833684 -6.607068660046828
-3.951243718581427 -7.033157035565233
-4.127134385045092 -7.384349361115325
-4.276666119016055 -7.683051990049611
-4.406719247264253 -7.942921291813208
-4.5217885770490405 -8.172896029643214
-4.624972813284271 -8.379146412568716
-4.718498871295094 -8.566110648934659
-4.804021044733257 -8.737087835252964
-4.882801922586371 -8.894597112687595
-4.955827057601261 -9.04060560008088
-5.0238805208462765 -9.17667871744587
-5.0875963352323845 -9.304082604196056
-5.147494476813453 -9.423855843020728
-5.204006687076795 -9.53686091311754
-5.2574953720277815 -9.64382187644133
-5.308267697401205 -9.745352497116409
-5.356586274672012 -9.841977560072253
-5.402677381872279 -9.93414928063951
-5.44673737166631 -10.022260091926269
-5.488937726156687 -10.10665274849714
-5.529429087511423 -10.18762835765448
-5.568344503761097 -10.265452875109359
-5.605802066295998 -10.340362367803476
-5.641907070938114 -10.412567331524556
-5.676753802268282 -10.48225625225433
-5.71042701737487 -10.54959860392242
-5.7430031878094825 -10.614747231834391
-5.7745515455444085 -10.67784059130834
-5.805134968916488 -10.739004369236655
-5.834810737062605 -10.798353107958208
-5.863631175598097 -10.855991411260254
-5.8916442118257715 -10.912015118763511
-5.918893854273146 -10.96651225005241
-5.945420608606575 -11.019563763824205
-5.971261839790462 -11.071244339492562
-5.996452088619021 -11.121623138531733
-6.021023349349527 -11.170764094528385
-6.045005314036012 -11.218726534702506
-6.068425588244111 -11.265565721506892
-6.091309882077698 -11.311333004614674
-6.113682179832232 -11.35607641141394
-6.135564891081739 -11.399840650764098
-6.156978985585555 -11.442667849054088
-6.1779441140506 -11.484597071779834
-6.198478716492308 -11.52566538177889
-6.218600119691729 -11.565907333366146
